communication_event_id,event_source_id,artifact_kind,artifact_url,status
comm-004032bcc032817bb8d9df2b,src-7bf95d5abc9403dbb524efa2,VIDEO,https://www.youtube.com/watch?v=QuUd5Y-sss4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-006bbac8c39a82d9c2f77beb,src-ed06d019c0da9e2fc84f2bda,VIDEO,https://www.youtube.com/watch?v=H0VdlmRS3UY,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-008cc0254baf7ee4e6b05aa3,src-dba0eec0340673ebba2cf420,VIDEO,https://www.youtube.com/watch?v=_SoDhD19d5o,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-018ab707f5f960624306fc63,src-3b7c4454bbb2dd3cf4c3a33b,AUDIO,https://www.bostonfed.org/-/media/Files/Speeches/Sounds/20170215-rosengren-speech.mp3?sc_lang=en&hash=5760CBD8131667D755329DCD4014D200,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-031683a623d9d2a8285b1d4a,src-cf766107b8cee5d9f330992e,VIDEO,https://www.youtube.com/watch?v=ipAum9128rc,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-042fed272753c7e30d8987c3,src-d388f59dd000982c8eb060a8,VIDEO,https://www.youtube.com/watch?v=CaxmRp0jJmE,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0433b9430c0ddf19287f2bbd,src-3703c16a18ad67eda31325ef,VIDEO,https://www.youtube.com/watch?v=I6rwuUX8H20,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-046de8896a52ff39290a57b9,src-cbc7f2d0d1c6d8ac2988701a,TRANSCRIPT_OR_CAPTIONS,https://www.clevelandfed.org/-/media/project/clevelandfedtenant/clevelandfedsite/collections/speeches/sp-20230516-transcript_gic.pdf,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-05571f5a8b2a3fad43d3d056,src-ad7a5aa69e2acf464458ec0f,VIDEO,https://www.youtube.com/watch?v=pnLND8PuA2c,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0596f64fec43a264584c1553,src-757a77f09f47d34471a7a9ae,VIDEO,https://www.youtube.com/watch?v=N-Ag_eOwBbg,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-05b4709b1579209304ef864d,src-f9b9d0c68cd3791e4126248b,VIDEO,https://www.youtube.com/live/fbp9cRgWrBk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-05f388f71a9e2550a408b07e,src-8dbab9613d2362116cb016ff,VIDEO,https://www.youtube.com/watch?v=Nrz4k2nUyqs,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-06f13e93e647cd74a71adf7b,src-6c0fa33ca0da29bbdadd812e,VIDEO,https://www.youtube.com/watch?v=2-Q4oXxsDk8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-07292faf9b3360b9181091f3,src-10c3fe893ee0891892ed98d7,VIDEO,https://www.youtube.com/watch?v=wfj-HV9wEPk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0756369e5b63ff8f77440d78,src-70da4251f033af0a5e207d09,VIDEO,https://www.youtube.com/watch?v=ukAJsSpxYJc,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-07eb5c57cb90a5f90e3148c4,src-6c4608aeda07c53ec2f62698,VIDEO,https://youtu.be/nMSpGN9uDHs,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-080d5192e8841487b6cd516e,src-cdcb62a29e9a5e1092a7c834,VIDEO,https://www.youtube.com/watch?v=85ry-u4Ow6Q,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-096e2f6355aeeaab014e7e39,src-5674d547d3131d58e806117b,VIDEO,https://www.youtube.com/live/iGRlTY_kMtM,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0a6e5062d258e1b07ad89c38,src-d75b577c7da9ad806598d465,VIDEO,https://www.youtube.com/watch?v=aloVTZy1gGY,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0a71d84544fc78b956edb1a3,src-d010d85f422b0f762072d078,VIDEO,https://www.youtube.com/watch?v=tKpAlAuLgt0,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0acbc780a2816e04d625d0ea,src-c6bfc6146d4cbc21047d6bb2,VIDEO,https://www.youtube.com/watch?v=DO1k16o7Fjw,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
